,,date,stake,price,profit,p_bet,bet_side
"near close, 5% margin|25.0",8768,2026-07-11,2.1858185113705764,1.8129167159821689,-2.1858185113705764,0.571199856557621,a
"near close, 5% margin|25.0",8771,2026-07-18,3.106728440725877,1.9524217802994666,2.9589158324231257,0.5424946224918693,a
"near close, 5% margin|25.0",8779,2026-07-18,4.248210644047905,1.2738484179543867,1.1633657640095052,0.8032881313487886,a
"near close, 5% margin|25.0",8780,2026-07-18,5.0,1.2804286563110008,1.402143281555004,0.8103437284447572,b
"near close, 5% margin|25.0",8783,2026-07-25,2.691432245974541,1.4332227990844584,1.165989811147261,0.7139991052867991,a
"near close, 5% margin|25.0",8789,2026-07-25,1.4781471996833222,2.770311355709367,-1.4781471996833222,0.3798618567878361,b
"near close, 5% margin|25.0",8791,2026-07-25,0.4987686564856852,3.1052774461709016,-0.4987686564856852,0.32879539614926045,b
"near close, 5% margin|25.0",8798,2026-08-01,4.598399570944991,1.469513311754579,2.1590098113252187,0.7098814198429828,b
"near close, 5% margin|25.0",8800,2026-08-01,0.585884422404827,4.597114820327495,-0.585884422404827,0.22669650672383823,a
"near close, 5% margin|25.0",8804,2026-08-01,1.0964737902816188,2.3241131861336792,-1.0964737902816188,0.4427654875927582,a
"near close, 5% margin|25.0",8810,2026-08-08,3.7601797970061526,1.4729687912088094,1.7784476933177864,0.7030488086692616,a
"near close, 5% margin|25.0",8823,2026-08-15,1.8968208700555889,1.9246546957835402,-1.8968208700555889,0.5377993718866828,a
"near close, 5% margin|25.0",8830,2026-08-15,0.7554649781322382,2.7474186017481608,-0.7554649781322382,0.3735878727988735,b
"near close, 5% margin|25.0",8844,2026-08-22,3.787769560091545,1.4620807642205638,-3.787769560091545,0.7078987251515696,a
"near close, 5% margin|25.0",8851,2026-08-29,0.7282268481115692,3.092213479965962,-0.7282268481115692,0.33324740585930895,a
"near close, 5% margin|25.0",8856,2026-08-29,5.0,2.2315884504256274,6.157942252128137,0.5081580126587864,b
"near close, 5% margin|25.0",8863,2026-09-05,3.700247405571789,1.3982492919346778,-3.700247405571789,0.7362581366021074,a
"near close, 5% margin|25.0",8864,2026-09-05,5.0,1.2595393660221939,1.2976968301109693,0.8150086526214736,a
"near close, 5% margin|25.0",8868,2026-09-05,4.510963041211431,1.410995032933819,1.8539834036859324,0.7349988085481529,a
"near close, 5% margin|25.0",8869,2026-09-05,2.2117598162363237,1.4970656533671032,1.0993898381486122,0.6826606398085371,a
"near close, 5% margin|25.0",8874,2026-09-12,2.400156405326392,2.2460299532809134,-2.400156405326392,0.4718607309416245,a
"near close, 5% margin|15.0",2159,2013-01-19,0.5144936728637634,4.727577715052429,-0.5144936728637634,0.22775143442949342,b
"near close, 5% margin|15.0",2160,2013-01-19,0.9701943370188565,2.883617159590159,1.8274747013459158,0.37213642750217,b
"near close, 5% margin|15.0",2161,2013-01-19,1.088298577284635,5.547342231699497,0.0,0.2159510975187099,b
"near close, 5% margin|15.0",2162,2013-01-19,0.5214664472666521,3.616051349805976,-0.5214664472666521,0.2916350510859317,b
"near close, 5% margin|15.0",2164,2013-01-19,2.3456766197274206,1.2807631578947367,0.658579575154522,0.8013528314581125,a
"near close, 5% margin|15.0",2165,2013-01-19,1.662228802547926,2.577468377485119,2.622113372164309,0.42867045219178507,a
"near close, 5% margin|15.0",2167,2013-01-19,1.1372424060585358,1.8231393298059966,0.9361089519499821,0.5690428269069241,a
"near close, 5% margin|15.0",2168,2013-01-19,1.0942625067829035,2.248152680219312,1.365806680704584,0.46911060645814395,b
