page,event,event_url,date,f1,f1_url,f1_open,f1_close_lo,f1_close_hi,f1_spark,f2,f2_url,f2_open,f2_close_lo,f2_close_hi
/fighters/elves-brener-16626,UFC,/events/ufc-2988,2023-11-05,Elves Brener,/fighters/elves-brener-16626,-135.0,-160.0,-160.0,"1.74074, 1.66667, 1.64516, 1.625, 1.60606, 1.625",Esteban Ribovics,/fighters/esteban-ribovics-14245,110.0,130.0,130.0
/fighters/elves-brener-16626,UFC,/events/ufc-2988,2023-11-05,Elves Brener,/fighters/elves-brener-16626,-200.0,-260.0,-200.0,"1.5, 1.516296, 1.4982716666667, 1.48856, 1.46254125, 1.4567875, 1.449905, 1.44472875, 1.429965, 1.42344",Kaynan Kruschewsky,/fighters/kaynan-kruschewsky-11749,163.0,160.0,200.0
/fighters/eric-mcconico-15806,UFC 330,/events/ufc-330-4237,2026-08-15,Eric McConico,/fighters/eric-mcconico-15806,189.0,225.0,290.0,"2.89, 2.9666666666667, 2.982, 2.96, 2.8966666666667, 2.8666666666667, 2.9133333333333, 3.0216666666667, 3.3516666666667, 3.6733333333333",Donte Johnson,/fighters/donte-johnson-19752,-225.0,-370.0,-300.0
/fighters/eric-mcconico-15806,UFC Vegas 116,/events/ufc-vegas-116-4147,2026-04-25,Eric McConico,/fighters/eric-mcconico-15806,250.0,225.0,310.0,"3.5, 2.93, 2.9333333333333, 2.96, 2.9583333333333, 2.9666666666667, 3.1, 3.3, 3.3, 3.8833333333333",Rodolfo Vieira,/fighters/rodolfo-vieira-9318,-300.0,-400.0,-300.0
/fighters/eric-mcconico-15806,UFC 322,/events/ufc-322-3924,2025-11-15,Eric McConico,/fighters/eric-mcconico-15806,450.0,500.0,850.0,"5.5, 6.675, 6.8916666666667, 6.7642857142857, 6.9428571428571, 7.0714285714286, 7.1142857142857, 7.1857142857143, 7.7642857142857, 8.1571428571429",Baisangur Susurkaev,/fighters/baisangur-susurkaev-20386,-600.0,-1500.0,-1000.0
/fighters/eric-mcconico-15806,UFC Fight Night: Dolidze vs. Hernandez Odds,/events/ufc-fight-night-dolidze-vs-hernandez-odds-3789,2025-08-09,Eric McConico,/fighters/eric-mcconico-15806,120.0,165.0,190.0,"2.2, 2.4233333333333, 2.3066666666667, 2.2983333333333, 2.3316666666667, 2.3983333333333, 2.4016666666667, 2.4116666666667, 2.4033333333333, 2.7916666666667",Cody Brundage,/fighters/cody-brundage-10168,-150.0,-230.0,-215.0
/fighters/eric-mcconico-15806,UFC,/events/ufc-3604,2025-02-22,Eric McConico,/fighters/eric-mcconico-15806,225.0,210.0,265.0,"3.25, 3.35, 3.36, 3.24, 3.22, 3.22, 3.24, 3.18, 3.28, 3.44",Nursulton Ruziboev,/fighters/nursulton-ruziboev-10851,-300.0,-340.0,-275.0
/fighters/eric-mcconico-15806,LFA 158,/events/lfa-158-2896,2023-05-19,Eric McConico,/fighters/eric-mcconico-15806,-400.0,-115.0,100.0,"1.25, 1.44444, 1.57143, 1.68966, 2.1, 2, 1.97619, 2.00119, 1.88933, 1.934785",Kevem Felipe,/fighters/kevem-felipe-15231,300.0,-133.0,-115.0
/fighters/eric-nolan-7010,UFC Fight Night,/events/ufc-fight-night-4230,2026-06-27,Eric Nolan,/fighters/eric-nolan-7010,-110.0,138.0,145.0,"1.90909, 2.3166666666667, 2.398, 2.465, 2.4766666666667, 2.4883333333333, 2.4966666666667, 2.495, 2.4533333333333, 2.405",Farman Hasanov,/fighters/farman-hasanov-17227,-110.0,-175.0,-160.0
/fighters/eric-nolan-7010,UFC 319,/events/ufc-319-3800,2025-08-17,Eric Nolan,/fighters/eric-nolan-7010,575.0,500.0,725.0,"6.75, 6.77, 6.675, 6.7583333333333, 6.925, 6.975, 7.0416666666667, 7.3666666666667, 7.6416666666667, 7.3916666666667",Baysangur Susurkaev,/fighters/baysangur-susurkaev-18856,-850.0,-1200.0,-900.0
/fighters/eric-nolan-7010,CFFC,/events/cffc-3581,2024-12-14,Eric Nolan,/fighters/eric-nolan-7010,-450.0,-2000.0,-649.0,"1.22222, 1.15408, 1.143705, 1.09704, 1.10204",Trevor Gudde,/fighters/trevor-gudde-10313,300.0,400.0,775.0
/fighters/eric-nolan-7010,CFFC,/events/cffc-3524,2024-10-18,Eric Nolan,/fighters/eric-nolan-7010,-225.0,-225.0,-225.0,,Aireon Tavarres,/fighters/aireon-tavarres-16995,160.0,160.0,160.0
/fighters/eric-nolan-7010,CFFC 131,/events/cffc-131-3265,2024-04-12,Eric Nolan,/fighters/eric-nolan-7010,-300.0,-300.0,-300.0,,R Rmandel Cameron,/fighters/r-rmandel-cameron-17514,210.0,210.0,210.0
/fighters/eric-nolan-7010,CFFC 128,/events/cffc-128-3151,2023-12-15,Eric Nolan,/fighters/eric-nolan-7010,163.0,163.0,175.0,"2.63, 2.69",Alonzo Turner,/fighters/alonzo-turner-15462,-225.0,-250.0,-225.0
/fighters/eric-nolan-7010,CFFC,/events/cffc-2932,2023-06-16,Eric Nolan,/fighters/eric-nolan-7010,-188.0,-200.0,-188.0,"1.53191, 1.515955",Omoyele Gonzalez,/fighters/omoyele-gonzalez-14807,140.0,140.0,150.0
/fighters/eric-nolan-7010,CFFC 118,/events/cffc-118-2847,2023-04-01,Eric Nolan,/fighters/eric-nolan-7010,-500.0,-275.0,-260.0,"1.2, 1.25, 1.28571, 1.35088, 1.33333, 1.38462, 1.39231, 1.37413",Blayne Richards,/fighters/blayne-richards-15548,375.0,188.0,200.0
